timestamp,event_id,event_type,outcome,user,source_ip,device
2026-08-10T21:00:00Z,auth-001,SignIn,Failure,alice@example.org,203.0.113.50,LAPTOP-ALICE
2026-08-10T21:01:00Z,auth-002,SignIn,Failure,bob@example.org,203.0.113.50,LAPTOP-BOB
2026-08-10T21:02:00Z,auth-003,SignIn,Failure,carol@example.org,203.0.113.50,LAPTOP-CAROL
2026-08-10T21:03:00Z,auth-004,SignIn,Failure,david@example.org,203.0.113.50,LAPTOP-DAVID
2026-08-10T21:04:00Z,auth-005,SignIn,Failure,erin@example.org,203.0.113.50,LAPTOP-ERIN
2026-08-10T22:00:00Z,auth-006,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:00:40Z,auth-007,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:01:20Z,auth-008,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:02:00Z,auth-009,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:02:40Z,auth-010,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:03:20Z,auth-011,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:04:00Z,auth-012,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:04:40Z,auth-013,SignIn,Failure,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T22:05:20Z,auth-014,SignIn,Success,finance.admin@example.org,198.51.100.77,FIN-WS-02
2026-08-10T10:15:00Z,auth-015,SignIn,Success,analyst@example.org,192.0.2.10,SOC-WS-01
